ubigeo,district,population_permanent,total_centrality_strength_intra,study_centrality_strength_intra,work_centrality_strength_intra
070101,CALLAO,434911,191113,88452,106825
070102,BELLAVISTA,71626,22422,10877,12002
070103,CARMEN DE LA LEGUA REYNOSO,41106,14600,7281,7509
070104,LA PERLA,59524,14327,6519,8008
070105,LA PUNTA,3633,900,296,610
070106,VENTANILLA,305480,134644,79409,57591
070107,MI PERU,43887,15985,9864,6259
150101,LIMA,257461,103699,44656,62700
150102,ANCON,59255,24015,12602,11954
150103,ATE,579105,270555,135664,143098
150104,BARRANCO,32895,9497,4078,5567
150105,BREÃ‘A,81222,25212,12037,13723
150106,CARABAYLLO,320618,126254,69307,58620
150107,CHACLACAYO,41235,15244,7549,7920
150108,CHORRILLOS,304295,134731,66431,72020
150109,CIENEGUILLA,32697,13049,5956,7339
150110,COMAS,504617,205037,108039,101013
150111,EL AGUSTINO,191624,62587,31309,32132
150112,INDEPENDENCIA,204990,77061,41934,36698
150113,JESUS MARIA,69031,18940,8135,11388
150114,LA MOLINA,134095,46240,25217,22421
150115,LA VICTORIA,166465,70593,25263,46560
150116,LINCE,52055,14990,6151,9213
150117,LOS OLIVOS,313849,124957,69774,59430
150118,LURIGANCHO (CHOSICA),230013,108970,54038,57725
150119,LURIN,85227,41816,18164,24373
150120,MAGDALENA DEL MAR,57535,13950,5844,8404
150121,PUEBLO LIBRE,79211,18229,8737,9957
150122,MIRAFLORES,92749,30383,9965,21532
150123,PACHACAMAC,106010,42834,24473,19067
150124,PUCUSANA,14151,7036,3223,3906
150125,PUENTE PIEDRA,317617,136446,72565,66755
150126,PUNTA HERMOSA,14689,5187,1887,3373
150127,PUNTA NEGRA,6565,2386,1238,1174
150128,RIMAC,169595,59229,31412,28733
150129,SAN BARTOLO,6901,2990,1307,1729
150130,SAN BORJA,107055,24563,9649,15435
150131,SAN ISIDRO,56388,17205,4642,13046
150132,SAN JUAN DE LURIGANCHO,1004690,478772,253215,242141
150133,SAN JUAN DE MIRAFLORES,344625,128905,67198,64562
150134,SAN LUIS,49424,14468,6193,8538
150135,SAN MARTIN DE PORRES,629296,217267,110988,110042
150136,SAN MIGUEL,147699,44771,23554,22354
150137,SANTA ANITA,188829,76315,36590,40994
150138,SANTA MARIA DEL MAR,915,288,61,233
150139,SANTA ROSA,26208,8205,4805,3488
150140,SANTIAGO DE SURCO,315252,107984,54167,57448
150141,SURQUILLO,86614,23978,8701,15726
150142,VILLA EL SALVADOR,383154,169955,90640,83308
150143,VILLA MARIA DEL TRIUNFO,388303,151007,84454,69069
