NAME_3,YEAR,t.budget,max_temperature,min_temperature,mean_temperature,precipitation,evp,delta_temperature,pm25,DPTO_EESS,PROV_EESS,ubigeo_eess,DIST_EESS,poblacion,total_casos,casos_nuevos,nuevos_tbpfp,morbilidad,incidencia,incidencia_tbpfp,budget.pc,NAME_S
Ancon,2017,35659038,17.05340864,16.06998599,16.8186476,4.553074443,-21.69591649,0.983422656,,LIMA,LIMA,150102,ANCON,44725,55,47,18,122.9737283,105.0866406,40.24594746,797.2954276,AN
Ate,2017,296205306,18.59089676,17.59217974,18.46735535,5.037591391,-38.60947126,0.998717018,,LIMA,LIMA,150103,ATE,649603,828,737,409,127.4624655,113.4539095,62.96153189,455.9789687,AT
Barranco,2017,41332860,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,,LIMA,LIMA,150104,BARRANCO,30913,18,16,6,58.22793,51.75816,19.40931,1337.070488,BC
Brea,2017,57012221,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,,LIMA,LIMA,150105,BREÑA,78277,66,58,31,84.31595488,74.09583914,39.6029485,728.3393717,BR
Carabayllo,2017,78887243,17.31772301,16.18771322,17.17285703,6.348570452,-33.95832735,1.130009793,,LIMA,LIMA,150106,CARABAYLLO,311332,370,339,184,118.8441921,108.886976,59.10089551,253.386234,CY
Chaclacayo,2017,32625743,18.37823648,17.31085167,18.26217497,5.326982465,-41.05966028,1.067384814,,LIMA,LIMA,150107,CHACLACAYO,44773,58,56,24,129.5423581,125.0753803,53.60373439,728.6923592,CH
Chorrillos,2017,115107824,19.71691008,19.01482209,19.59727804,4.542611092,-31.21927715,0.702087989,,LIMA,LIMA,150108,CHORRILLOS,335631,361,301,179,107.5585986,89.68182319,53.33237991,342.9594525,CR
Cieneguilla,2017,30051415,18.89342791,17.90858168,18.77285872,5.533596597,-41.02238693,0.984846232,,LIMA,LIMA,150109,CIENEGUILLA,48538,21,20,7,43.26507067,41.20482921,14.42169022,619.1317112,CG
Comas,2017,137037517,18.05228841,17.09278221,17.89923449,4.880337238,-30.56565495,0.959506204,,LIMA,LIMA,150110,COMAS,541154,654,570,321,120.8528441,105.3304605,59.31768036,253.2320134,CM
El Agustino,2017,78592674,18.65244274,17.7242335,18.51954191,4.639691935,-34.72989458,0.928209242,,LIMA,LIMA,150111,EL AGUSTINO,197292,369,326,196,187.032419,165.2373132,99.3451331,398.3571255,EA
Independencia,2017,66155933,18.49441601,17.62754908,18.34533683,3.985918172,-29.18409364,0.866866924,,LIMA,LIMA,150112,INDEPENDENCIA,223538,306,270,174,136.8894774,120.784833,77.8391146,295.9493822,IN
Jesus Maria,2017,77908161,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,,LIMA,LIMA,150113,JESUS MARIA,73807,21,18,6,28.4525858,24.38793068,8.129310228,1055.566017,JM
La Molina,2017,183374077,19.12910766,18.23389741,19.00265315,5.110494396,-37.49234089,0.895210249,,LIMA,LIMA,150114,LA MOLINA,176963,37,35,11,20.90832547,19.77814571,6.215988653,1036.228347,LM
La Victoria,2017,132604152,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,,LIMA,LIMA,150115,LA VICTORIA,177101,425,353,240,239.9760589,199.3212912,135.5158921,748.7487479,LV
Lima,2017,2564490182,18.82592917,17.98839008,18.68797431,4.233050554,-30.72025209,0.837539099,,LIMA,LIMA,150101,LIMA,280233,411,335,219,146.6636692,119.54338,78.14925437,9151.278336,LI
Lince,2017,44409229,19.10502541,18.30304292,18.97293663,4.37275689,-31.31331661,0.801982493,,LIMA,LIMA,150116,LINCE,51784,46,41,21,88.8305268,79.17503476,40.55306658,857.5859146,LN
Los Olivos,2017,122946958,18.42341303,17.54568596,18.27252838,4.097529434,-29.14745189,0.877727076,,LIMA,LIMA,150117,LOS OLIVOS,382728,337,294,159,88.05208921,76.81695617,41.54386405,321.2384722,LO
Lurigancho,2017,94961582,18.12114976,17.03493846,18.00533977,5.72831262,-39.94293618,1.086211301,,LIMA,LIMA,150118,LURIGANCHO,225760,275,238,131,121.8107725,105.4216867,58.02622254,420.6306786,LU
Lurin,2017,69476026,19.73278615,18.90968523,19.60580888,5.603821637,-39.32072022,0.823100916,,LIMA,LIMA,150119,LURIN,87769,69,59,27,78.61545648,67.22191206,30.76256993,791.5781882,LR
Magdalena del Mar,2017,51998217,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,,LIMA,LIMA,150120,MAGDALENA DEL MAR,56350,33,27,14,58.56255546,47.9148181,24.8447205,922.7722626,MM
Miraflores,2017,204730412,19.10644237,18.29897409,18.97468544,4.416183138,-31.67688452,0.807468281,,LIMA,LIMA,150122,MIRAFLORES,84469,17,17,10,20.1257266,20.1257266,11.8386627,2423.734293,MR
Pachacamac,2017,68106784,19.40957388,18.51578144,19.28456899,5.629408577,-40.38441488,0.893792435,,LIMA,LIMA,150123,PACHACAMAC,133670,113,108,64,84.53654522,80.79599012,47.87910526,509.5143563,PC
Pucusana,2017,15744049,19.09561695,18.53407081,18.93887947,2.946092494,-20.14171682,0.561546145,,LIMA,LIMA,150124,PUCUSANA,17572,16,13,8,91.05394947,73.98133394,45.52697473,895.9736513,PU
Puente Piedra,2017,142225616,17.83147984,16.87304921,17.66136265,4.9144079,-28.20519235,0.958430629,,LIMA,LIMA,150125,PUENTE PIEDRA,364272,335,312,175,91.9642465,85.6502833,48.04102429,390.4379584,PP
Punta Hermosa,2017,16145448,19.57787764,18.71031664,19.45067647,6.034025576,-41.00975623,0.867560998,,LIMA,LIMA,150126,PUNTA HERMOSA,7845,6,6,3,76.48183556,76.48183556,38.24091778,2058.055832,PH
Punta Negra,2017,10146301,19.32818394,18.43045531,19.20264885,6.223285291,-40.98324576,0.897728629,,LIMA,LIMA,150127,PUNTA NEGRA,8180,4,4,2,48.8997555,48.8997555,24.44987775,1240.379095,PN
Rimac,2017,58029530,18.48977818,17.59888245,18.34468883,4.147107075,-30.67417673,0.890895736,,LIMA,LIMA,150128,RIMAC,170019,363,321,178,213.5055494,188.802428,104.6941812,341.3120298,RM
San Bartolo,2017,14105351,19.61289117,18.79404963,19.47967657,5.706249712,-38.69333881,0.818841545,,LIMA,LIMA,150129,SAN BARTOLO,7937,10,9,6,125.9921885,113.3929696,75.59531309,1777.164042,ST
San Borja,2017,117743941,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,,LIMA,LIMA,150130,SAN BORJA,115395,18,17,10,15.59859613,14.73200745,8.665886737,1020.355657,SB
San Isidro,2017,235450881,19.10502541,18.30304292,18.97293663,4.37275689,-31.31331661,0.801982493,,LIMA,LIMA,150131,SAN ISIDRO,55885,9,9,6,16.10450031,16.10450031,10.73633354,4213.131985,SI
San Juan de Lurigancho,2017,227348237,18.17331168,17.16180115,18.0390414,5.194815905,-35.1512527,1.011510527,,LIMA,LIMA,150132,SAN JUAN DE LURIGANCHO,1125108,1739,1527,956,154.5629397,135.7203042,84.96962069,202.0679233,SJL
San Juan de Miraflores,2017,106803251,19.44008704,18.63231323,19.3141516,4.920625759,-35.09960051,0.80777381,,LIMA,LIMA,150133,SAN JUAN DE MIRAFLORES,416516,502,461,272,120.5235813,110.6800219,65.30361379,256.4205241,SJM
San Luis,2017,52357103,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,,LIMA,LIMA,150134,SAN LUIS,59384,59,47,40,99.35336117,79.14589788,67.35821097,881.6701974,SL
San Martin de Porres,2017,155422292,18.49967837,17.66006484,18.3460695,3.814934748,-27.49394918,0.839613534,,LIMA,LIMA,150135,SAN MARTIN DE PORRES,721866,698,612,317,96.69384623,84.78027778,43.91396741,215.3062923,SMP
San Miguel,2017,101785422,19.09794061,18.32338706,18.96419257,4.155625651,-29.49547707,0.774553554,,LIMA,LIMA,150136,SAN MIGUEL,139703,85,78,41,60.84336056,55.83273086,29.34797392,728.5843683,SM
Santa Anita,2017,93352712,18.60576752,17.67042139,18.47245362,4.622959192,-34.70798447,0.935346129,,LIMA,LIMA,150137,SANTA ANITA,235498,277,248,149,117.6230796,105.30875,63.27017639,396.4055406,SA
Santa Maria del Mar,2017,7709836,19.47003528,18.75391725,19.3273483,4.648302571,-31.75531504,0.716118034,,LIMA,LIMA,150138,SANTA MARIA DEL MAR,1654,0,0,0,0,0,0,4661.32769,SMM
Santa Rosa,2017,8731399,17.75030203,17.19248292,17.40243768,1.579458287,-1.417936926,0.557819113,,LIMA,LIMA,150139,SANTA ROSA,19332,22,19,11,113.8009518,98.28264018,56.90047589,451.6552348,SR
Santiago de Surco,2017,273491925,19.18558646,18.33889779,19.05740273,4.830524139,-34.98015531,0.846688669,,LIMA,LIMA,150140,SANTIAGO DE SURCO,354906,149,131,72,41.9829476,36.91118212,20.28706193,770.6038359,SS
Surquillo,2017,50468542,19.11919501,18.26235464,18.99042476,4.807019368,-34.94899569,0.856840371,,LIMA,LIMA,150141,SURQUILLO,94175,93,77,39,98.7523228,81.76267587,41.4122644,535.9016937,SQ
Villa El Salvador,2017,180656346,19.77730721,18.9976196,19.65292279,5.232420145,-36.74382466,0.779687603,,LIMA,LIMA,150142,VILLA EL SALVADOR,477356,535,467,256,112.0756836,97.83054995,53.6287383,378.4520274,VES
Villa Maria del Triunfo,2017,106254800,19.53083668,18.6908952,19.40490337,5.318535396,-38.06258965,0.839941476,,LIMA,LIMA,150143,VILLA MARIA DEL TRIUNFO,462439,518,460,270,112.0147738,99.47257909,58.38607903,229.770413,VMT
Ancon,2016,29679185,17.45848015,16.47906011,17.23205642,2.729917065,-22.4326266,0.979420041,18.8,LIMA,LIMA,150102,ANCON,44048,62,54,20,140.7555394,122.5935343,45.40501271,673.7918861,AN
Ate,2016,259955380,19.11473276,18.07733397,18.98722153,1.988047108,-40.05703987,1.037398788,42.1,LIMA,LIMA,150103,ATE,639764,909,784,428,142.0836433,122.5451885,66.89966925,406.3301155,AT
Barranco,2016,32510548,19.58362725,18.69001334,19.45463586,1.945175271,-36.23843445,0.893613907,44.4,LIMA,LIMA,150104,BARRANCO,30445,22,21,13,72.26145508,68.97684349,42.69995073,1067.845229,BC
Brea,2016,49759374,19.51603068,18.71590585,19.38642562,1.75598431,-30.55325036,0.800124828,24.2,LIMA,LIMA,150105,BREÑA,77091,69,57,33,89.50461143,73.93859205,42.80655329,645.4628167,BR
Carabayllo,2016,79149190,17.8566031,16.70879927,17.70967708,3.486242638,-35.21697573,1.14780383,21.8,LIMA,LIMA,150106,CARABAYLLO,306616,354,320,180,115.4538576,104.365069,58.70535132,258.1378336,CY
Chaclacayo,2016,20483273,18.93102753,17.82230162,18.80910882,2.097801136,-42.62587072,1.108725911,38.4,LIMA,LIMA,150107,CHACLACAYO,44095,48,43,23,108.8558794,97.51672525,52.16010886,464.525978,CH
Chorrillos,2016,110930256,20.12515758,19.38874243,20.00915557,2.046655006,-32.34542392,0.736415155,44.8,LIMA,LIMA,150108,CHORRILLOS,330547,427,356,232,129.1798141,107.7002665,70.18669055,335.5960151,CR
Cieneguilla,2016,28877412,19.41780603,18.38637551,19.29221995,2.191805247,-42.58899615,1.031430515,19.7,LIMA,LIMA,150109,CIENEGUILLA,47803,29,23,8,60.6656486,48.1141351,16.73535134,604.0920444,CG
Comas,2016,105655842,18.52207782,17.54384981,18.37083525,2.409013094,-31.67698342,0.978228009,32.5,LIMA,LIMA,150110,COMAS,532957,686,598,347,128.7158251,112.2041741,65.10844214,198.2445901,CM
El Agustino,2016,82647708,19.13650018,18.17635795,19.00287146,1.885265373,-36.01296263,0.960142231,43.9,LIMA,LIMA,150111,EL AGUSTINO,194304,466,406,236,239.8303689,208.9509223,121.4591568,425.3525815,EA
Independencia,2016,51692853,18.93256976,18.04571505,18.7870458,1.71333128,-30.23371905,0.886854711,42.596,LIMA,LIMA,150112,INDEPENDENCIA,220152,330,279,181,149.8964352,126.7306225,82.21592354,234.8052845,IN
Jesus Maria,2016,69392923,19.51603068,18.71590585,19.38642562,1.75598431,-30.55325036,0.800124828,23.3,LIMA,LIMA,150113,JESUS MARIA,72689,24,20,8,33.01737539,27.51447949,11.0057918,954.6550785,JM
La Molina,2016,155263349,19.61514798,18.67795564,19.48644881,2.033388775,-38.88985987,0.937192345,42.2,LIMA,LIMA,150114,LA MOLINA,174283,39,38,14,22.37739768,21.80361825,8.032911988,890.8691553,LM
La Victoria,2016,118176331,19.58362725,18.69001334,19.45463586,1.945175271,-36.23843445,0.893613907,25.3,LIMA,LIMA,150115,LA VICTORIA,174418,466,376,250,267.1742595,215.5740807,143.3338302,677.5466466,LV
Lima,2016,1908219166,19.26567159,18.40243406,19.13048783,1.778129725,-31.83218343,0.86323753,24.6,LIMA,LIMA,150101,LIMA,275988,362,286,191,131.1651231,103.627694,69.2059075,6914.138173,LI
Lince,2016,41222444,19.53856287,18.70727501,19.40916236,1.819047963,-32.44831172,0.831287854,23.5,LIMA,LIMA,150116,LINCE,51000,48,47,25,94.11764706,92.15686275,49.01960784,808.2832157,LN
Los Olivos,2016,118833538,18.86392727,17.96686784,18.71653151,1.80966138,-30.19611833,0.897059432,27.8,LIMA,LIMA,150117,LOS OLIVOS,376931,371,322,190,98.42650246,85.42677572,50.40710369,315.2660248,LO
Lurigancho,2016,89918987,18.67047483,17.54738037,18.54987342,2.552661271,-41.4773289,1.123094456,29.1,LIMA,LIMA,150118,LURIGANCHO,222340,313,271,146,140.775389,121.8854007,65.66519745,404.4210983,LU
Lurin,2016,65616904,20.19927216,19.32498002,20.07035065,2.288193124,-40.81569511,0.874292142,20.7,LIMA,LIMA,150119,LURIN,86440,65,59,30,75.19666821,68.2554373,34.70615456,759.1034706,LR
Magdalena del Mar,2016,39395532,19.51603068,18.71590585,19.38642562,1.75598431,-30.55325036,0.800124828,23.3,LIMA,LIMA,150120,MAGDALENA DEL MAR,55496,33,29,16,59.46374513,52.25601845,28.83090673,709.880568,MM
Miraflores,2016,197758827,19.54306931,18.70554885,19.41370971,1.831660694,-32.827324,0.83752046,27.4,LIMA,LIMA,150122,MIRAFLORES,83190,21,18,10,25.24341868,21.63721601,12.02067556,2377.194699,MR
